batch_id,date,focus_area,focus_query,file_name,returned_count,new_unique_after_merge,status,notes
batch_002,2026-04-25,Cronan Ranch and South Fork American River,backpacking trails near South Fork American River Trail California,batch_002.json,7,,saved,
batch_003,2026-04-25,Granite Chief Wilderness,backpacking trails in Granite Chief Wilderness California,batch_003.json,1,,saved,
batch_004,2026-04-25,Lake Tahoe Basin (CA side),backpacking trails in Lake Tahoe Basin California,batch_004.json,19,,saved,
